,bench_prior,wins,scores,fidelity,zone,benchmark,prior
0,B-0_bad,-1.0,0.752,1.0,1_6,B-0,bad
1,B-1_bad,-1.0,0.782,1.0,1_6,B-1,bad
2,B-2_bad,-1.0,0.608,1.0,1_6,B-2,bad
3,B-3_bad,-1.0,0.77,1.0,1_6,B-3,bad
4,B-4_bad,-1.0,0.793,1.0,1_6,B-4,bad
5,B-5_bad,-1.0,0.682,1.0,1_6,B-5,bad
6,B-6_bad,-1.0,0.714,1.0,1_6,B-6,bad
7,B-7_bad,-1.0,0.819,1.0,1_6,B-7,bad
8,B-8_bad,-1.0,0.536,1.0,1_6,B-8,bad
9,B-9_bad,-1.0,0.65,1.0,1_6,B-9,bad
10,B-10_bad,-1.0,0.929,1.0,1_6,B-10,bad
11,B-11_bad,-1.0,0.67,1.0,1_6,B-11,bad
12,B-6_at25,1.0,-0.29,1.0,1_6,B-6,at25
13,B-8_at25,1.0,-0.415,1.0,1_6,B-8,at25
14,B-11_at25,1.0,-0.308,1.0,1_6,B-11,at25
15,B-1_at25,1.0,-0.031,1.0,1_6,B-1,at25
16,B-0_at25,0.0,0.0,1.0,1_6,B-0,at25
17,B-9_at25,1.0,-0.356,1.0,1_6,B-9,at25
18,B-5_at25,1.0,-0.233,1.0,1_6,B-5,at25
19,B-10_at25,1.0,-0.099,1.0,1_6,B-10,at25
20,B-3_at25,1.0,-0.074,1.0,1_6,B-3,at25
21,B-4_at25,1.0,-0.103,1.0,1_6,B-4,at25
22,B-7_at25,1.0,-0.099,1.0,1_6,B-7,at25
23,B-2_at25,0.0,0.0,1.0,1_6,B-2,at25
24,B-0_bad,-1.0,0.151,2.0,1_6,B-0,bad
25,B-1_bad,-1.0,0.07,2.0,1_6,B-1,bad
26,B-2_bad,-1.0,0.047,2.0,1_6,B-2,bad
27,B-3_bad,0.0,0.0,2.0,1_6,B-3,bad
28,B-4_bad,-1.0,0.105,2.0,1_6,B-4,bad
29,B-5_bad,-1.0,0.193,2.0,1_6,B-5,bad
30,B-6_bad,-1.0,0.228,2.0,1_6,B-6,bad
31,B-7_bad,-1.0,0.197,2.0,1_6,B-7,bad
32,B-8_bad,-1.0,0.255,2.0,1_6,B-8,bad
33,B-9_bad,-1.0,0.215,2.0,1_6,B-9,bad
34,B-10_bad,-1.0,0.047,2.0,1_6,B-10,bad
35,B-11_bad,-1.0,0.173,2.0,1_6,B-11,bad
